symbol,date,time,price,holding,change
HCM,2021-07-07,09:30:00,48.5,"58,400",-0.9
IDC,2021-07-07,09:30:00,33.5,"34,400",-0.5
DCM,2021-07-07,09:30:00,17.35,"15,900",-0.75
PVI,2021-07-07,09:27:00,39.1,100,0.2
DPM,2021-07-07,09:30:00,20.45,"13,600",-0.45
ITA,2021-07-07,09:30:00,6.61,"117,100",-0.14
IJC,2021-07-07,09:30:00,27.5,"24,200",-1.0
SCR,2021-07-07,09:30:00,10.0,"56,500",-0.5
HBC,2021-07-07,09:30:00,13.9,"33,500",-0.4
CEO,2021-07-07,09:30:00,8.7,"130,600",-0.4
FRT,2021-07-07,09:30:00,27.65,"21,100",0.3
PET,2021-07-07,09:30:00,21.4,"6,500",-0.6
CKG,2021-07-07,09:30:00,16.5,"9,500",-0.45
PVC,2021-07-07,09:30:00,9.6,"33,800",-0.2
VPB,2021-07-06,09:29:00,72.2,"511,300",-0.5
TCB,2021-07-06,09:29:00,58.2,"251,600",0.2
HPG,2021-07-06,09:29:00,51.4,"437,900",0.2
GVR,2021-07-06,09:29:00,36.5,"34,400",0.2
ACB,2021-07-06,09:29:00,38.1,"163,000",0.15
MBB,2021-07-06,09:29:00,43.3,"193,300",0.2
BSR,2021-07-06,09:31:00,20.2,"140,700",0.0
STB,2021-07-06,09:29:00,32.9,"288,900",0.3
SHB,2021-07-06,09:30:00,30.4,"28,700",0.4
TPB,2021-07-06,09:29:00,39.3,"69,100",0.0
SSI,2021-07-06,09:29:00,56.9,"130,200",0.4
POW,2021-07-06,09:29:00,11.8,"76,800",0.1
HSG,2021-07-06,09:29:00,41.75,"41,300",0.15
OIL,2021-07-06,09:31:00,14.5,"88,100",-0.1
DXG,2021-07-06,09:29:00,22.6,"250,400",-0.3
SBT,2021-07-06,09:29:00,20.3,"39,600",-0.2
HCM,2021-07-06,09:29:00,53.5,"43,000",0.4
IDC,2021-07-06,09:30:00,35.6,"20,300",-0.1
DCM,2021-07-06,09:29:00,19.45,"43,100",-0.05
PVI,2021-07-06,09:35:00,39.3,100,-0.4
DPM,2021-07-06,09:29:00,22.55,"4,500",0.1
ITA,2021-07-06,09:29:00,7.29,"26,300",0.04
IJC,2021-07-06,09:29:00,31.15,"129,300",0.55
SCR,2021-07-06,09:29:00,11.3,"45,600",0.05
HBC,2021-07-06,09:29:00,14.8,"21,200",0.05
CEO,2021-07-06,09:30:00,9.4,"51,300",0.0
FRT,2021-07-06,09:29:00,29.8,"16,800",0.4
PET,2021-07-06,09:29:00,23.15,"29,200",-0.2
CKG,2021-07-06,09:29:00,18.3,"32,900",0.1
PVC,2021-07-06,09:30:00,10.9,"30,500",0.3
VPB,2021-07-05,09:30:00,72.0,"126,500",-0.1
TCB,2021-07-05,09:30:00,54.8,"163,700",0.5
HPG,2021-07-05,09:30:00,52.1,"135,400",-0.2
GVR,2021-07-05,09:30:00,36.2,"7,600",0.0
ACB,2021-07-05,09:30:00,36.45,"27,500",0.35
MBB,2021-07-05,09:30:00,43.35,"105,300",-0.1
BSR,2021-07-05,09:30:00,20.5,"80,400",-0.5
STB,2021-07-05,09:30:00,31.3,"250,600",-0.2
SHB,2021-07-05,09:30:00,29.3,"21,900",0.3
TPB,2021-07-05,09:30:00,38.2,"62,200",0.45
SSI,2021-07-05,09:30:00,57.5,"43,400",-0.4
POW,2021-07-05,09:30:00,11.9,"21,900",-0.1
HSG,2021-07-05,09:30:00,42.25,"42,600",-0.15
OIL,2021-07-05,09:30:00,14.8,"5,300",-0.4
DXG,2021-07-05,09:30:00,23.5,"22,300",-0.3
SBT,2021-07-05,09:30:00,20.7,"9,400",-0.3
HCM,2021-07-05,09:30:00,54.4,"25,600",-0.1
IDC,2021-07-05,09:30:00,36.0,500,0.0
DCM,2021-07-05,09:30:00,19.8,"62,200",-0.3
PVI,2021-07-05,09:29:00,40.4,300,-0.1
DPM,2021-07-05,09:30:00,22.9,"3,700",0.0
ITA,2021-07-05,09:30:00,7.43,"11,100",-0.03
IJC,2021-07-05,09:30:00,32.3,"18,600",-0.35
SCR,2021-07-05,09:30:00,11.8,"11,000",-0.1
HBC,2021-07-05,09:30:00,15.0,"33,200",-0.1
CEO,2021-07-05,09:30:00,9.7,"20,900",-0.1
FRT,2021-07-05,09:30:00,28.5,"64,800",1.0
PET,2021-07-05,09:30:00,23.5,"47,400",0.4
CKG,2021-07-05,09:30:00,18.05,"19,000",-0.05
PVC,2021-07-05,09:30:00,10.9,200,-0.3
VPB,2021-07-02,09:30:00,71.3,"125,700",0.9
TCB,2021-07-02,09:30:00,53.9,"179,200",0.6
HPG,2021-07-02,09:30:00,53.0,"90,400",0.2
GVR,2021-07-02,09:30:00,36.3,"4,500",-0.1
ACB,2021-07-02,09:30:00,36.1,"43,200",0.15
MBB,2021-07-02,09:30:00,43.45,"39,000",0.0
BSR,2021-07-02,09:30:00,21.2,"20,100",0.7
STB,2021-07-02,09:30:00,31.25,"179,300",0.25
SHB,2021-07-02,09:30:00,28.6,"11,000",0.2
TPB,2021-07-02,09:30:00,37.25,"19,800",0.05
SSI,2021-07-02,09:30:00,57.3,"88,000",-0.2
POW,2021-07-02,09:30:00,12.15,"8,100",0.05
HSG,2021-07-02,09:30:00,42.8,"37,800",0.2
OIL,2021-07-02,09:30:00,15.3,"1,600",0.4
DXG,2021-07-02,09:30:00,23.85,"11,900",0.05
SBT,2021-07-02,09:30:00,21.3,"3,600",-0.05
HCM,2021-07-02,09:30:00,53.9,"83,700",-0.1
IDC,2021-07-02,09:30:00,36.3,"14,300",0.0
DCM,2021-07-02,09:30:00,20.65,"6,400",0.0
PVI,2021-07-02,09:29:00,40.7,"2,000",-0.9
DPM,2021-07-02,09:30:00,23.9,600,0.1
ITA,2021-07-02,09:30:00,7.51,"14,100",0.06
IJC,2021-07-02,09:30:00,33.0,"102,600",0.25
SCR,2021-07-02,09:30:00,11.75,"5,500",0.05
HBC,2021-07-02,09:30:00,15.3,"21,900",0.05
CEO,2021-07-02,09:30:00,9.9,"2,000",-0.1
FRT,2021-07-02,09:30:00,27.55,"1,000",0.0
PET,2021-07-02,09:30:00,22.3,"9,900",0.1
CKG,2021-07-02,09:30:00,18.35,"1,000",-0.05
PVC,2021-07-02,09:30:00,11.5,"2,200",0.3
